symbol,name
501848.NS,Global Offshore Services Ltd
501945.NS,Dhenu Buildcon Infra Limited
502015.NS,ASI INDUSTRIES LIMITED
502090.NS,Sagar Cements Ltd
502133.NS,Hemadri Cements Limited
502137.NS,Deccan Cements Ltd.
502157.NS,Mangalam Cement Ltd.
502168.NS,NCL Industries Limited
502175.NS,Saurashtra Cement Limited
502180.NS,Shree Digvijay Cement Co. Ltd.
502219.NS,BOROSIL RENEWABLES LIMITED
502250.NS,LERTHAI FINANCE LIMITED
502271.NS,Raasi Refractories Limited.
502281.NS,Triveni Glass Ltd.
502294.NS,Nilachal Refractories Ltd.
502330.NS,ANDHRA PAPER LIMITED
502355.NS,Balkrishna Industries Ltd.
502420.NS,Orient Paper & Industries Ltd.
502445.NS,Citadel Realty And Developers Limited
502448.NS,Rollatainters Ltd.
502450.NS,Seshasayee Paper & Boards Ltd.
502587.NS,NATH INDUSTRIES LIMITED
502589.NS,VAPI ENTERPRISE LIMITED
502820.NS,DCM Ltd.
502850.NS,Gaekwar Mills Ltd.
502865.NS,Forbes & Company Ltd
502873.NS,H.P. Cotton Textile Mills Ltd.
502893.NS,United Interactive Limited
502901.NS,JAMSHRI REALTY LIMITED
502933.NS,Katare Spinning Mills Ltd.
502937.NS,Kesoram Industries Ltd
502958.NS,Lakshmi Mills Company ltd
502986.NS,Vardhman Textiles Limted
503031.NS,Peninsula Land Limited
503092.NS,Pasupati Spg. & Wvg. Mills Ltd.
503100.NS,The Phoenix Mills Ltd.
503101.NS,Marathon Nextgen Realty Ltd
503127.NS,Raja Bahadur International Ltd
503162.NS,Reliance Chemotex Industries Ltd.
503169.NS,Ruby Mills Ltd.
503229.NS,Simplex Realty Limited
503310.NS,Swan Energy Ltd.
503349.NS,Victoria Mills Ltd.
503622.NS,S.V. Trading & Agencies Ltd.
503624.NS,Svaraj Trading & Agencies Ltd.
503626.NS,Kshitij Investments Ltd
503635.NS,Shree Salasar Investment Ltd.
503639.NS,Indsoya Limited
503641.NS,Zodiac Ventures Limited
503657.NS,Veer Energy & Infrastructure Limited
503659.NS,SW Investments Limited
503663.NS,Tilak Ventures Limited
503671.NS,Unijolly Investments Co. Ltd.
503675.NS,Wagend Infra Venture Limited
503681.NS,Elcid Investments Ltd.
503685.NS,Mediaone Global Entertainment Limited
503689.NS,Healthy Investments Ltd.
503696.NS,Shreenath Investments Co. Ltd.
503722.NS,Banswara Syntex Ltd.
503772.NS,Modella Woollens Ltd.
503776.NS,Modipon Ltd.
503804.NS,Shri Dinesh Mills Ltd.
503806.NS,SRF Ltd.
503811.NS,Siyaram Silk Mills Ltd.
503816.NS,Swadeshi Polytex Ltd.
503837.NS,Shree Rajasthan Syntex Ltd.
503863.NS,Shree Manufacturing Co. Ltd.
503893.NS,Satyam Silk Mills Ltd
503960.NS,Bharat Bijlee Ltd.
504000.NS,Elpro International Ltd.
504028.NS,GEE Ltd.
504036.NS,Hind Rectifiers Ltd.
504058.NS,Indo National Limited
504067.NS,Zensar Technologies Ltd.
504076.NS,Jyoti Ltd.
504080.NS,JSL Industries Ltd.
504084.NS,Kaycee Industries Ltd.
504092.NS,Indokem Ltd
504093.NS,Panasonic Energy India Co. Ltd.
504112.NS,Nelco Ltd
504132.NS,Permanent Magnets Ltd.
504176.NS,High Energy Batteries (India) Ltd.
504180.NS,Standard Batteries Ltd.
504212.NS,Universal Cables Ltd.
504220.NS,W.S. Industries (India) Ltd.
504240.NS,Delton Cables Ltd.
504258.NS,Lakshmi Electrical Control Systems
504273.NS,MODULEX CONSTRUCTION TECHNOLOGIES LIMITED
504286.NS,DELTA MANUFACTURING LIMITED 
504340.NS,Longspur International Ventures Limited
504341.NS,RAVINDRA ENERGY LIMITED
504346.NS,RRP SEMICONDUCTOR LIMITED
504351.NS,Empower India Limited
504356.NS,Multipurpose Trading & Agencies Ltd
504365.NS,Ridhi Synthetics Ltd.
504369.NS,Grandma Trading & Agencies Ltd.
504370.NS,Ardi Investment & Trading Ltd.
504375.NS,Softbpo Global Services Ltd.
504378.NS,Nyssa Corporation Limited
504380.NS,FLOMIC GLOBAL LOGISTICS LIMITED
504392.NS,Krishna Ventures Limited
504397.NS,Ganesh Holding Ltd.
504398.NS,SJ Corporation Limited
504605.NS,Uni-Abex Alloy Products Ltd.
504614.NS,Sarda Energy & Minerals Ltd
504646.NS,Bhagwati Autocast Limited
504648.NS,Bombay Wire Ropes Ltd.
504671.NS,Chase Bright Steel Co. Ltd.
504731.NS,AZAD INDIA MOBILITY LIMITED
504741.NS,Indian Hume Pipe Co. Ltd.
504746.NS,Indian Link Chain Mnfrs. Ltd.
504786.NS,Investment & Precision Castings Ltd
504810.NS,Informed Technologies India Ltd.
504840.NS,Kaira Can Co. Ltd.
504879.NS,ORIENT CERATECH LIMITED
504882.NS,National Standard (India) Limited
504903.NS,Rathi Steel & Power Ltd
504908.NS,Duncan Engineering Limited
504918.NS,Sandur Manganese & Iron Ores Ltd.
504959.NS,Stovec Industries Ltd.
504973.NS,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
504988.NS,Welcast Steels Ltd.
504998.NS,Western Ministil Ltd.
505010.NS,Automotive Axles Ltd.
505029.NS,Atlas Cycles (Haryana) Ltd.
505032.NS,Automobile Products of India Ltd.
505036.NS,Automobile Corpn. of Goa Ltd.
505075.NS,Setco Automotive Limited
505100.NS,India Radiators Ltd.
505160.NS,Talbros Automotive Components Ltd.
505163.NS,Z.F. Steering Gear (India) Limited
505192.NS,SML ISUZU LIMITED
505196.NS,TIL Ltd.
505200.NS,Eicher Motors Ltd.
505212.NS,JAINEX AAMCOL LTD.
505216.NS,Alfred Herbert (India) Ltd.
505232.NS,Veljan Denison Limited
505242.NS,Dynamatic Technologies Ltd.
505250.NS,G. G. Dandekar Properties Limited
505255.NS,GMM Pfaudler Ltd.
505283.NS,Kirloskar Pneumatic Co.Ltd.
505285.NS,Tulive Developers Limited
505299.NS,KPT INDUSTRIES LIMITED
505302.NS,LAKSHMI ENGINEERING AND WAREHOUSING LIMITED
505320.NS,Lynx Machinery & Commercials Ltd.
505324.NS,Manugraph India Ltd
505336.NS,HARSHIL AGROTECH LIMITED
505343.NS,Monotype India Ltd.
505355.NS,Nesco Ltd
505358.NS,Integra Engineering India Ltd.
505368.NS,SEMAC CONSULTANTS LIMITED
505400.NS,Texmaco Infrastructure & Holdings Ltd
505412.NS,Wendt (India) Ltd.
505502.NS,PS IT Infrastructure & Services Limited
505504.NS,GHV INFRA PROJECTS LIMITED
505509.NS,Responsive Industries Ltd
505515.NS,Shyamkamal Investments Ltd.
505520.NS,HEM Holdings and Trading Ltd.
505523.NS,Maharashtra Corporation Ltd.
505526.NS,DOLAT ALGOTECH LIMITED
505533.NS,WESTLIFE FOODWORLD LIMITED
505537.NS,Zee Entertainment Enterprises Ltd.
505585.NS,Kovalam Inv. & Trading Co.Ltd.
505590.NS,SVP GLOBAL TEXTILES LIMITED
505594.NS,Multiplus Holdings Ltd.
505650.NS,Skyline Millars Ltd
505681.NS,Bimetal Bearings Ltd
505685.NS,Taparia Tools Ltd.
505688.NS,Bharat Gears Ltd.
505690.NS,Brady & Morris Engineering Co. Ltd.
505693.NS,La Tim Metal & Industries Limited
505700.NS,Elecon Engineering Co.Ltd.
505703.NS,Deccan Bearings Ltd.
505710.NS,Grauer & Weil (India) Ltd.
505712.NS,HIM TEKNOFORGE LIMITED
505714.NS,Gabriel India Ltd.
505720.NS,Hercules Hoists Ltd.
505725.NS,ALGOQUANT FINTECH LIMITED
505726.NS,IFB Industries Limited
505729.NS,Singer India Limited
505737.NS,International Combustion (India) Lt
505744.NS,Federal-Mogul Goetze (India) Ltd
505750.NS,Josts Engineering Co. Ltd.
505790.NS,Schaeffler India Limited
505797.NS,Mipco Seamless Rings (Gujarat) Ltd.
505800.NS,Rane Holdings Ltd.
